-4.784157973126567098e-01	-7.500000000000000000e+01	-7.499571814844406958e+01	-4.281851555936559521e-03
-4.776812454716212741e-01	-7.488488488488488315e+01	-7.488447019609971278e+01	-4.146887851719350897e-04
-4.769466940642229091e-01	-7.476976976976976630e+01	-7.477214349814728678e+01	2.373728377521376869e-03
-4.762121430872505723e-01	-7.465465465465464945e+01	-7.465599104515092677e+01	1.336390496275296266e-03
-4.754775925410871795e-01	-7.453953953953953260e+01	-7.453528046165749288e+01	-4.259077882046113234e-03
-4.747430424204083232e-01	-7.442442442442442996e+01	-7.441944942341119429e+01	-4.975001013239701599e-03
-4.740084927237047663e-01	-7.430930930930931311e+01	-7.429626701908422604e+01	-1.304229022508946421e-02
-4.732739434410682677e-01	-7.419419419419419626e+01	-7.418093365764075031e+01	-1.326053655344184949e-02
-4.725393945806182217e-01	-7.407907907907907941e+01	-7.407701322832515700e+01	-2.065850753924122069e-03
-4.718048461302091212e-01	-7.396396396396396256e+01	-7.397062205651931777e+01	6.658092555349093972e-03
-4.710702980896088188e-01	-7.384884884884884571e+01	-7.384944805088100850e+01	5.992020321596692014e-04
-4.703357504533310363e-01	-7.373373373373372885e+01	-7.374060271450304072e+01	6.868980769305487594e-03
-4.696012032224910482e-01	-7.361861861861861200e+01	-7.362202048731491288e+01	3.401868696305725918e-03
-4.688666563923436503e-01	-7.350350350350350936e+01	-7.349354613814222148e+01	-9.957365361285292621e-03
-4.681321099542754549e-01	-7.338838838838839251e+01	-7.338309413652864066e+01	-5.294251859756040485e-03
-4.673975639115453551e-01	-7.327327327327327566e+01	-7.327612545257180443e+01	2.852179298529135699e-03
-4.666630182589539544e-01	-7.315815815815815881e+01	-7.317225180022379050e+01	1.409364206563802277e-02
-4.659284729945943893e-01	-7.304304304304304196e+01	-7.304281696879375829e+01	-2.260742492870444211e-04
-4.651939281085154532e-01	-7.292792792792792511e+01	-7.292518693590646706e+01	-2.740992021460231850e-03
-4.644593836072583581e-01	-7.281281281281280826e+01	-7.282212538467761931e+01	9.312571864811328842e-03
-4.637248394810376539e-01	-7.269769769769769141e+01	-7.268242499972490123e+01	-1.527269797279374661e-02
-4.629902957300676691e-01	-7.258258258258258877e+01	-7.258466684075783348e+01	2.084258175245245256e-03
-4.622557523457030970e-01	-7.246746746746747192e+01	-7.247193331761236834e+01	4.465850144895391199e-03
-4.615212093316991004e-01	-7.235235235235235507e+01	-7.236809965550736479e+01	1.574730315501054675e-02
-4.607866666817589385e-01	-7.223723723723723822e+01	-7.225050565061114582e+01	1.326841337390578107e-02
-4.600521243894635792e-01	-7.212212212212212137e+01	-7.211534158377885717e+01	-6.780538343270447674e-03
-4.593175824553432651e-01	-7.200700700700700452e+01	-7.200083409044434291e+01	-6.172916562657997964e-03
-4.585830408754796861e-01	-7.189189189189188767e+01	-7.189987614440244101e+01	7.984252510550588627e-03
-4.578484996495710280e-01	-7.177677677677677082e+01	-7.178526279254565168e+01	8.486015768887413338e-03
-4.571139587644666991e-01	-7.166166166166166818e+01	-7.166626406530578208e+01	4.602403644111069739e-03
-4.563794182281990519e-01	-7.154654654654655133e+01	-7.155343462255866882e+01	6.888076012122773192e-03
-4.556448780310088376e-01	-7.143143143143143448e+01	-7.143553140375466626e+01	4.099972323236628774e-03
-4.549103381749764474e-01	-7.131631631631631763e+01	-7.131245129395779259e+01	-3.865022358527231850e-03
-4.541757986476489539e-01	-7.120120120120120077e+01	-7.120203445729731584e+01	8.332560961120988492e-04
-4.534412594553672848e-01	-7.108608608608608392e+01	-7.110131183002893351e+01	1.522574394284689943e-02
-4.527067205909955927e-01	-7.097097097097096707e+01	-7.097869451191650114e+01	7.723540945531439696e-03
-4.519721820498256992e-01	-7.085585585585585022e+01	-7.087169281399802401e+01	1.583695814217823614e-02
-4.512376438298411618e-01	-7.074074074074073337e+01	-7.073554012667420920e+01	-5.200614066527598639e-03
-4.505031059271298877e-01	-7.062562562562563073e+01	-7.063004660920532274e+01	4.420983579686376883e-03
-4.497685683441839388e-01	-7.051051051051051388e+01	-7.051941904561444119e+01	8.908535103930144416e-03
-4.490340310663958889e-01	-7.039539539539539703e+01	-7.041616046262630846e+01	2.076506723091686019e-02
-4.482994941002427236e-01	-7.028028028028028018e+01	-7.026620312021515247e+01	-1.407716006512855361e-02
-4.475649574377558726e-01	-7.016516516516516333e+01	-7.017699007561783731e+01	1.182491045267419078e-02
-4.468304210811776533e-01	-7.005005005005004648e+01	-7.006235243008015345e+01	1.230238003010511970e-02
-4.460958850171690693e-01	-6.993493493493492963e+01	-6.995469003154627785e+01	1.975509661135336700e-02
-4.453613492507657035e-01	-6.981981981981982699e+01	-6.983293490815383109e+01	1.311508833400291604e-02
-4.446268137774774809e-01	-6.970470470470471014e+01	-6.973276798033874968e+01	2.806327563403677658e-02
-4.438922785929484416e-01	-6.958958958958959329e+01	-6.961819580850637124e+01	2.860621891677450276e-02
-4.431577436918578972e-01	-6.947447447447447644e+01	-6.948283654983332269e+01	8.362075358840318634e-03
-4.424232090727996947e-01	-6.935935935935935959e+01	-6.938625913199030038e+01	2.689977263094122176e-02
-4.416886747362621657e-01	-6.924424424424424274e+01	-6.924828763979000712e+01	4.043395545765534303e-03
-4.409541406719949541e-01	-6.912912912912912589e+01	-6.913687963401810066e+01	7.750504888975332657e-03
-4.402196068810101948e-01	-6.901401401401400904e+01	-6.902060087200865723e+01	6.586857994643839295e-03
-4.394850733583026692e-01	-6.889889889889889218e+01	-6.891086256401074195e+01	1.196366511185526990e-02
